model,RMSE,MAE,R2
baseline_global,1.0730683767434623,0.8982406496545182,-0.0314253926420244
baseline_item,0.9671201510254676,0.7305694637995669,0.1621931805877315
trained_regressor,0.502866,0.225564,0.77349
