,precision,recall,f1-score,support
Business,0.0,0.0,0.0,1.0
Couples,0.5222222222222223,0.6811594202898551,0.5911949685534591,69.0
Family,0.8320610687022901,0.8384615384615385,0.8352490421455939,130.0
Friends,0.391304347826087,0.28125,0.32727272727272727,32.0
Solo,0.0,0.0,0.0,15.0
accuracy,0.6680161943319838,0.6680161943319838,0.6680161943319838,0.6680161943319838
macro avg,0.34911752775011984,0.3601741917502787,0.3507433475943561,247.0
weighted avg,0.6345061190083637,0.6680161943319838,0.6471560954730492,247.0
